,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
202954,5.1,2,0.0,0.9999950000249999,0.0,0.0,0.0,0.0,8.9,105,2461.455,2.1,0.361904727437645,0.19999998095238275,0.009523808616780132,0.2095237895691629,0.0,0.21904759818594302,2.5999999999999996
1629057,5.1,4,0.0,0.0,0.0,0.0,0.0,0.9999975000062501,8.9,51,2461.455,2.1,0.0,0.01960783929258053,0.0,0.07843135717032212,0.0,0.9019606074587043,2.5999999999999996
1627824,5.1,4,0.24999937500156252,0.0,0.0,0.0,0.0,0.7499981250046875,8.9,77,2461.455,2.1,0.2857142486085391,0.12987011300388143,0.03896103390116443,0.09090907910271699,0.03896103390116443,0.41558436161242057,2.5999999999999996
1628386,5.1,48,0.0,0.27083327690973397,0.020833328993056458,0.0,0.0,0.7083331857639196,8.9,568,2461.455,2.1,0.00528169004785757,0.16021126478501296,0.04225352038286056,0.012323943445000997,0.029929576937859564,0.749999986795775,2.5999999999999996
201960,5.1,33,0.030303021120296626,0.3333332323232629,0.0,0.09090906336088989,0.030303021120296626,0.5151513590450426,8.9,575,2461.455,2.1,0.37043477616635173,0.15130434519470704,0.07130434658601137,0.0695652161814745,0.09565217224952745,0.2417391262306239,2.5999999999999996
203459,5.1,10,0.1999998000002,0.2999997000003,0.0,0.0,0.0,0.49999950000050003,8.9,371,2461.455,2.1,0.5256064548354056,0.07008086064472074,0.07816711379603468,0.14285713900654612,0.0862533669473486,0.09703503781576718,2.5999999999999996
202334,5.1,24,0.0,0.12499994791668836,0.0,0.0,0.0,0.8749996354168186,8.9,302,2461.455,2.1,0.0066225163370027705,0.11589403589754849,0.0,0.0033112581685013852,0.0,0.8741721564843657,2.5999999999999996
203915,5.1,36,0.027777770061730538,0.5555554012346107,0.0,0.0,0.027777770061730538,0.3888887808642275,8.9,823,2461.455,2.1,0.3620899105456876,0.1713244207615502,0.02916160353388088,0.05710814025385006,0.05224787299820324,0.3280680397561599,2.5999999999999996
201162,5.1,11,0.0,0.09090900826453795,0.0,0.0,0.0,0.9090900826453795,8.9,239,2461.455,2.1,0.49372382871448417,0.05020920292011703,0.03765690219008777,0.07531380438017554,0.10041840584023407,0.242677814113899,2.5999999999999996
1626203,5.1,8,0.0,0.24999968750039064,0.0,0.24999968750039064,0.0,0.4999993750007813,8.9,191,2461.455,2.1,0.4502617565307981,0.13612564732326454,0.10994763822263674,0.07853402730188339,0.10471203640251119,0.12041884186288786,2.5999999999999996
203925,5.1,67,0.08955222543996635,0.25373130541323796,0.0,0.029850741813322115,0.014925370906661057,0.6119402071731034,8.9,748,2461.455,2.1,0.4331550744230605,0.12165775238425465,0.028074865934827997,0.04144384971331752,0.05481283349180704,0.3208556106837485,2.5999999999999996
1626178,5.1,46,0.0,0.36956513705105715,0.0,0.06521737712665714,0.0,0.5652172684310286,8.9,487,2461.455,2.1,0.028747432674590706,0.2484599538303911,0.04722792510825616,0.09445585021651232,0.024640656578220604,0.5564681610581487,2.5999999999999996
1629066,5.1,42,0.04761903628118183,0.23809518140590918,0.0,0.023809518140590916,0.023809518140590916,0.6666665079365457,8.9,445,2461.455,2.1,0.3033707796995331,0.08089887458654214,0.05617977401843205,0.03595505537179651,0.042696628254008356,0.48089886559777834,2.5999999999999996
